date,flow
05/01/2019 21:30,10.2113
05/01/2019 21:45,9.8888
05/01/2019 22:00,10.1669
05/01/2019 22:15,10
05/01/2019 22:30,9.5106
05/01/2019 22:45,9.3993
05/01/2019 23:00,9.277
05/01/2019 23:15,8.7208
05/01/2019 23:30,8.6874
05/01/2019 23:45,8.3982
06/01/2019 00:00,7.5862
06/01/2019 00:15,7.1635
06/01/2019 00:30,6.5072
06/01/2019 00:45,5.5395
06/01/2019 01:00,5.7175
06/01/2019 01:15,5.5951
06/01/2019 01:30,5.2836
06/01/2019 01:45,5.1724
06/01/2019 02:00,4.5606
06/01/2019 02:15,4.4383
06/01/2019 02:30,4.2158
06/01/2019 02:45,4.2825
06/01/2019 03:00,4.0378
06/01/2019 03:15,4.0267
06/01/2019 03:30,3.9266
06/01/2019 03:45,3.7597
06/01/2019 04:00,4.0601
06/01/2019 04:15,3.8598
06/01/2019 04:30,3.871
06/01/2019 04:45,3.8598
06/01/2019 05:00,4.0267
06/01/2019 05:15,3.9043
06/01/2019 05:30,4.0934
06/01/2019 05:45,4.0044
06/01/2019 06:00,4.1935
06/01/2019 06:15,4.2937
06/01/2019 06:30,4.7942
06/01/2019 06:45,5.1502
06/01/2019 07:00,5.3059
06/01/2019 07:15,5.4505
06/01/2019 07:30,6.7742
06/01/2019 07:45,7.3304
06/01/2019 08:00,7.6307
06/01/2019 08:15,9.5884
06/01/2019 08:30,10.2892
06/01/2019 08:45,11.1791
06/01/2019 09:00,12.3804
06/01/2019 09:15,14.238
06/01/2019 09:30,14.8387
06/01/2019 09:45,14.1824
06/01/2019 10:00,14.8165
06/01/2019 10:15,14.6941
06/01/2019 10:30,14.4494
06/01/2019 10:45,16.0845
06/01/2019 11:00,15.317
06/01/2019 11:15,15.4394
06/01/2019 11:30,14.9722
06/01/2019 11:45,14.8276
06/01/2019 12:00,15.7175
06/01/2019 12:15,15.0612
06/01/2019 12:30,14.9833
06/01/2019 12:45,14.8276
06/01/2019 13:00,14.2492
06/01/2019 13:15,13.8598
06/01/2019 13:30,13.9711
06/01/2019 13:45,13.7264
06/01/2019 14:00,14.0267
06/01/2019 14:15,13.2481
06/01/2019 14:30,13.6151
06/01/2019 14:45,12.5028
06/01/2019 15:00,12.7364
06/01/2019 15:15,12.7697
06/01/2019 15:30,12.6474
06/01/2019 15:45,12.6696
06/01/2019 16:00,12.8476
06/01/2019 16:15,12.3471
06/01/2019 16:30,11.9132
06/01/2019 16:45,12.7586
06/01/2019 17:00,13.0923
06/01/2019 17:15,12.7253
06/01/2019 17:30,12.1468
06/01/2019 17:45,12.4027
06/01/2019 18:00,13.1368
06/01/2019 18:15,13.7152
06/01/2019 18:30,12.6363
06/01/2019 18:45,13.1924
06/01/2019 19:00,12.97
06/01/2019 19:15,12.7364
06/01/2019 19:30,12.7697
06/01/2019 19:45,12.3248
06/01/2019 20:00,11.2903
06/01/2019 20:15,12.3137
06/01/2019 20:30,11.7798
06/01/2019 20:45,11.3571
06/01/2019 21:00,11.7353
06/01/2019 21:15,11.5017
06/01/2019 21:30,11.8131
06/01/2019 21:45,10.7564
06/01/2019 22:00,10.1112
06/01/2019 22:15,10.9344
06/01/2019 22:30,10.2336
06/01/2019 22:45,9.9666
06/01/2019 23:00,8.8654
06/01/2019 23:15,7.8198
06/01/2019 23:30,7.9755
06/01/2019 23:45,7.0523
07/01/2019 00:00,6.3404
07/01/2019 00:15,5.317
07/01/2019 00:30,5.3281
07/01/2019 00:45,5.0834
07/01/2019 01:00,4.7942
07/01/2019 01:15,4.5717
07/01/2019 01:30,4.4716
07/01/2019 01:45,4.2158
07/01/2019 02:00,4.1935
07/01/2019 02:15,4.0601
07/01/2019 02:30,3.7041
07/01/2019 02:45,3.8376
07/01/2019 03:00,3.7931
07/01/2019 03:15,3.7041
07/01/2019 03:30,3.7375
07/01/2019 03:45,3.6596
07/01/2019 04:00,3.5818
07/01/2019 04:15,3.7264
07/01/2019 04:30,3.7709
07/01/2019 04:45,3.9155
07/01/2019 05:00,4.0044
07/01/2019 05:15,4.2937
07/01/2019 05:30,4.4828
07/01/2019 05:45,5.3504
07/01/2019 06:00,6.1402
07/01/2019 06:15,7.842
07/01/2019 06:30,9.2881
07/01/2019 06:45,10.4227
07/01/2019 07:00,11.5907
07/01/2019 07:15,13.7931
07/01/2019 07:30,14.7386
07/01/2019 07:45,14.8053
07/01/2019 08:00,14.3048
07/01/2019 08:15,14.0044
07/01/2019 08:30,14.3604
07/01/2019 08:45,12.7586
07/01/2019 09:00,12.6474
07/01/2019 09:15,13.7152
07/01/2019 09:30,12.5028
07/01/2019 09:45,12.8254
07/01/2019 10:00,12.069
07/01/2019 10:15,12.1913
07/01/2019 10:30,12.3804
07/01/2019 10:45,11.5239
07/01/2019 11:00,12.7253
07/01/2019 11:15,11.5795
07/01/2019 11:30,11.0901
07/01/2019 11:45,11.4238
07/01/2019 12:00,11.2347
07/01/2019 12:15,11.0011
07/01/2019 12:30,11.2681
07/01/2019 12:45,11.0456
07/01/2019 13:00,11.2458
07/01/2019 13:15,11.2792
07/01/2019 13:30,10.3448
07/01/2019 13:45,10.1557
07/01/2019 14:00,10.723
07/01/2019 14:15,10.5006
07/01/2019 14:30,10.7786
07/01/2019 14:45,10.8009
07/01/2019 15:00,10.7898
07/01/2019 15:15,10.7564
07/01/2019 15:30,10.3226
07/01/2019 15:45,10.6452
07/01/2019 16:00,10.7341
07/01/2019 16:15,10.3337
07/01/2019 16:30,10.4338
07/01/2019 16:45,11.1235
07/01/2019 17:00,11.4683
07/01/2019 17:15,11.9244
07/01/2019 17:30,12.3026
07/01/2019 17:45,12.0133
07/01/2019 18:00,11.98
07/01/2019 18:15,13.1034
07/01/2019 18:30,12.9477
07/01/2019 18:45,13.0812
07/01/2019 19:00,13.0701
07/01/2019 19:15,13.3148
07/01/2019 19:30,13.6707
07/01/2019 19:45,12.4694
07/01/2019 20:00,11.9466
07/01/2019 20:15,12.8699
07/01/2019 20:30,11.4127
07/01/2019 20:45,11.3682
07/01/2019 21:00,10.5228
07/01/2019 21:15,10.6229
07/01/2019 21:30,10.4449
07/01/2019 21:45,9.5106
07/01/2019 22:00,9.8888
07/01/2019 22:15,11.0345
07/01/2019 22:30,9.5439
07/01/2019 22:45,8.743
07/01/2019 23:00,7.7753
07/01/2019 23:15,8.5873
07/01/2019 23:30,7.4638
07/01/2019 23:45,6.8632
08/01/2019 00:00,5.9956
08/01/2019 00:15,5.6618
08/01/2019 00:30,5.4171
08/01/2019 00:45,4.7942
08/01/2019 01:00,4.6496
08/01/2019 01:15,4.6051
08/01/2019 01:30,4.0823
08/01/2019 01:45,4.2492
08/01/2019 02:00,3.8821
08/01/2019 02:15,3.6707
08/01/2019 02:30,3.7597
08/01/2019 02:45,3.5595
08/01/2019 03:00,3.9377
08/01/2019 03:15,3.7486
08/01/2019 03:30,3.8376
08/01/2019 03:45,3.96
08/01/2019 04:00,3.6263
08/01/2019 04:15,3.9377
08/01/2019 04:30,3.7264
08/01/2019 04:45,3.8042
08/01/2019 05:00,4.0601
08/01/2019 05:15,4.1379
08/01/2019 05:30,4.4939
08/01/2019 05:45,5.406
08/01/2019 06:00,6.2514
08/01/2019 06:15,7.3192
08/01/2019 06:30,8.6096
08/01/2019 06:45,10.2225
08/01/2019 07:00,11.3126
08/01/2019 07:15,14.0156
08/01/2019 07:30,13.8821
08/01/2019 07:45,14.7942
08/01/2019 08:00,13.96
08/01/2019 08:15,14.9499
08/01/2019 08:30,14.7942
08/01/2019 08:45,13.426
08/01/2019 09:00,13.4372
08/01/2019 09:15,12.6696
08/01/2019 09:30,11.891
08/01/2019 09:45,11.3682
08/01/2019 10:00,11.5573
08/01/2019 10:15,11.3904
08/01/2019 10:30,11.3014
08/01/2019 10:45,10.901
08/01/2019 11:00,11.7353
08/01/2019 11:15,11.9689
08/01/2019 11:30,11.3014
08/01/2019 11:45,11.2013
08/01/2019 12:00,10.8788
08/01/2019 12:15,11.0011
08/01/2019 12:30,11.5128
08/01/2019 12:45,11.2681
08/01/2019 13:00,10.7786
08/01/2019 13:15,11.2681
08/01/2019 13:30,9.7998
08/01/2019 13:45,10.0556
08/01/2019 14:00,10.178
08/01/2019 14:15,10.5117
08/01/2019 14:30,10.7453
08/01/2019 14:45,9.9444
08/01/2019 15:00,9.5439
08/01/2019 15:15,9.7998
08/01/2019 15:30,9.0768
08/01/2019 15:45,9.9333
08/01/2019 16:00,9.5439
08/01/2019 16:15,9.5328
08/01/2019 16:30,10.356
08/01/2019 16:45,10.6897
08/01/2019 17:00,10.4561
08/01/2019 17:15,11.98
08/01/2019 17:30,12.436
08/01/2019 17:45,12.6585
08/01/2019 18:00,12.158
08/01/2019 18:15,13.7152
08/01/2019 18:30,13.9933
08/01/2019 18:45,13.2925
08/01/2019 19:00,12.8699
08/01/2019 19:15,13.4372
08/01/2019 19:30,13.1813
08/01/2019 19:45,12.792
08/01/2019 20:00,12.9811
08/01/2019 20:15,12.7253
08/01/2019 20:30,12.4472
08/01/2019 20:45,12.1691
08/01/2019 21:00,11.5573
08/01/2019 21:15,11.2125
08/01/2019 21:30,10.0556
08/01/2019 21:45,10.2336
08/01/2019 22:00,9.7108
08/01/2019 22:15,11.6574
08/01/2019 22:30,10.2781
08/01/2019 22:45,9.4105
08/01/2019 23:00,8.7987
08/01/2019 23:15,8.0868
08/01/2019 23:30,7.8977
08/01/2019 23:45,7.5195
09/01/2019 00:00,6.3515
09/01/2019 00:15,5.8621
09/01/2019 00:30,5.2948
09/01/2019 00:45,5.3393
09/01/2019 01:00,4.8498
09/01/2019 01:15,4.6162
09/01/2019 01:30,4.238
09/01/2019 01:45,4.2269
09/01/2019 02:00,4.0267
09/01/2019 02:15,4.0044
09/01/2019 02:30,4.1046
